application_id,job_id,student_id,status,cover_letter,resume_url,applied_at,updated_at,id
app-0001,226b31a8-8c8b-44df-8332-b141f6909bb2,b1a1d1e1-0001-4000-8000-000000000001,pending,I am passionate about frontend development.,https://resumes.harbor.edu/sophia.pdf,2024-01-15T10:00:00Z,2024-01-25T09:00:00Z,89231312-97b0-485d-ab95-e0ba9e55bbe5
app-0002,226b31a8-8c8b-44df-8332-b141f6909bb2,b1a1d1e1-0002-4000-8000-000000000002,reviewing,Experienced in React and JavaScript.,https://resumes.harbor.edu/liam.pdf,2024-01-16T11:00:00Z,2024-01-25T09:00:00Z,1fc56baf-6534-4305-9c10-15788e7ad5d2
app-0003,63c1b239-0696-4ec4-92a8-acaaa44d18f3,b1a1d1e1-0003-4000-8000-000000000003,shortlisted,Skilled in backend engineering.,https://resumes.harbor.edu/olivia.pdf,2024-01-17T12:00:00Z,2024-01-25T09:00:00Z,c5eb645b-42e4-4907-96b1-e8aef6aef6ee
app-0004,63c1b239-0696-4ec4-92a8-acaaa44d18f3,b1a1d1e1-0004-4000-8000-000000000004,rejected,Looking forward to contributing to Innovate Inc.,https://resumes.harbor.edu/mason.pdf,2024-01-18T13:00:00Z,2024-01-25T09:00:00Z,1a462603-3e65-40cc-b3b8-5c7a127d1879
app-0005,93933cf6-9a39-432b-834e-1a3cd67d9577,b1a1d1e1-0005-4000-8000-000000000005,pending,Excited to join DataWorks as Data Analyst.,https://resumes.harbor.edu/emma.pdf,2024-01-19T14:00:00Z,2024-01-25T09:00:00Z,221a875a-f45c-4b33-a6a1-265a6b87848d
app-0006,93933cf6-9a39-432b-834e-1a3cd67d9577,b1a1d1e1-0006-4000-8000-000000000006,reviewing,Strong SQL and Python skills.,https://resumes.harbor.edu/noah.pdf,2024-01-20T15:00:00Z,2024-01-25T09:00:00Z,11338dd3-9b79-4b18-a1bc-a1b5e3df6788
app-0007,699b0393-9ee8-4d59-a807-10df0f72294f,b1a1d1e1-0007-4000-8000-000000000007,shortlisted,Experienced in cloud architecture.,https://resumes.harbor.edu/ava.pdf,2024-01-21T16:00:00Z,2024-01-25T09:00:00Z,67aed26f-7c57-428b-b164-2ffec1d1ca1d
app-0008,699b0393-9ee8-4d59-a807-10df0f72294f,b1a1d1e1-0008-4000-8000-000000000008,rejected,Looking forward to joining CloudNet.,https://resumes.harbor.edu/james.pdf,2024-01-22T17:00:00Z,2024-01-25T09:00:00Z,2f75ecb2-841c-4f3c-a4f8-952c20a4aa5c
app-0009,2ad8e3df-e5ed-4c5c-a761-bd2e7efe1484,b1a1d1e1-0009-4000-8000-000000000009,pending,Finance background and PowerBI expertise.,https://resumes.harbor.edu/isabella.pdf,2024-01-23T18:00:00Z,2024-01-25T09:00:00Z,88bc5ff7-a86c-44bc-9e5a-6f45dbadb5c7
app-0010,2ad8e3df-e5ed-4c5c-a761-bd2e7efe1484,b1a1d1e1-0010-4000-8000-000000000010,reviewing,Financial analysis experience.,https://resumes.harbor.edu/benjamin.pdf,2024-01-24T19:00:00Z,2024-01-25T09:00:00Z,26ce1e1d-9a89-4617-980a-40060dbfafa6
app-0011,4fccf0fe-02df-46b4-ade4-5539e91eb5a5,b1a1d1e1-0011-4000-8000-000000000011,shortlisted,Education consultant with curriculum expertise.,https://resumes.harbor.edu/mia.pdf,2024-01-25T20:00:00Z,2024-01-25T09:00:00Z,d3060d95-0fa4-4872-b13e-ad073403f4ce
app-0012,4fccf0fe-02df-46b4-ade4-5539e91eb5a5,b1a1d1e1-0012-4000-8000-000000000012,rejected,Passionate about education innovation.,https://resumes.harbor.edu/elijah.pdf,2024-01-26T21:00:00Z,2024-01-25T09:00:00Z,67fe7bde-018f-4472-bc84-cee4d21887a9
app-0013,c34ad9b0-4646-4c00-9c07-3eebe1b4870f,b1a1d1e1-0013-4000-8000-000000000013,pending,Healthcare data science experience.,https://resumes.harbor.edu/charlotte.pdf,2024-01-27T22:00:00Z,2024-01-25T09:00:00Z,9d9b52e1-ab9c-482c-9bc5-336e0364f026
app-0014,c34ad9b0-4646-4c00-9c07-3eebe1b4870f,b1a1d1e1-0014-4000-8000-000000000014,reviewing,Skilled in Python and R.,https://resumes.harbor.edu/lucas.pdf,2024-01-28T23:00:00Z,2024-01-25T09:00:00Z,d82bd838-4a2f-405c-9187-74d7c5e20acc
app-0015,060a8795-8270-4406-abff-d0b6d4984fe8,b1a1d1e1-0015-4000-8000-000000000015,shortlisted,Sustainability research background.,https://resumes.harbor.edu/amelia.pdf,2024-01-29T09:00:00Z,2024-01-25T09:00:00Z,72c3c2a3-6e67-426d-8728-5865c9648458
app-0016,060a8795-8270-4406-abff-d0b6d4984fe8,b1a1d1e1-0016-4000-8000-000000000016,rejected,Interested in GreenTech solutions.,https://resumes.harbor.edu/mason.pdf,2024-01-30T10:00:00Z,2024-01-25T09:00:00Z,b9d7866a-8b13-4359-b358-ec38e6cc0775
app-0017,a2698dc3-0a78-42d5-8e1e-a459125654e3,b1a1d1e1-0017-4000-8000-000000000017,pending,E-commerce management experience.,https://resumes.harbor.edu/evelyn.pdf,2024-01-31T11:00:00Z,2024-01-25T09:00:00Z,16a0c8c2-0013-4810-b537-8959c426d434
app-0018,a2698dc3-0a78-42d5-8e1e-a459125654e3,b1a1d1e1-0018-4000-8000-000000000018,reviewing,Retail operations expertise.,https://resumes.harbor.edu/logan.pdf,2024-02-01T12:00:00Z,2024-01-25T09:00:00Z,d8421aa3-eaf3-42cf-baac-e4f51f8a3722
app-0019,83585ed2-1a6f-47bc-a687-56dda1106945,b1a1d1e1-0019-4000-8000-000000000019,shortlisted,Mechanical engineering skills.,https://resumes.harbor.edu/harper.pdf,2024-02-02T13:00:00Z,2024-01-25T09:00:00Z,3950606e-14ea-417d-8184-9d976a979d4b
app-0020,83585ed2-1a6f-47bc-a687-56dda1106945,b1a1d1e1-0020-4000-8000-000000000020,rejected,AutoDrive design experience.,https://resumes.harbor.edu/jackson.pdf,2024-02-03T14:00:00Z,2024-01-25T09:00:00Z,2fe4a242-aeeb-4ef6-8de0-58104fe37837
app-0021,f311c5e8-c692-4bea-b407-2c0a7bdcfb0e,b1a1d1e1-0021-4000-8000-000000000021,pending,Biotech research background.,https://resumes.harbor.edu/ella.pdf,2024-02-04T15:00:00Z,2024-01-25T09:00:00Z,7c83c29a-c802-40b6-8fab-119a0ee1c1a0
app-0022,f311c5e8-c692-4bea-b407-2c0a7bdcfb0e,b1a1d1e1-0022-4000-8000-000000000022,reviewing,Lab and biology skills.,https://resumes.harbor.edu/aiden.pdf,2024-02-05T16:00:00Z,2024-01-25T09:00:00Z,5009526f-4182-496a-a29d-b5a9220cd975
app-0023,090e537a-5645-48f2-b583-c6ea2e5eb546,b1a1d1e1-0023-4000-8000-000000000023,shortlisted,Marketing campaign experience.,https://resumes.harbor.edu/avery.pdf,2024-02-06T17:00:00Z,2024-01-25T09:00:00Z,7cc1a551-1ed1-42ad-bd78-4f5bd2eb4afe
app-0024,090e537a-5645-48f2-b583-c6ea2e5eb546,b1a1d1e1-0024-4000-8000-000000000024,rejected,Creative marketing skills.,https://resumes.harbor.edu/carter.pdf,2024-02-07T18:00:00Z,2024-01-25T09:00:00Z,6c52c06b-2c11-4756-955e-2797e505964e
app-0025,14fc0a5f-ea02-495f-b992-77429453b76f,b1a1d1e1-0025-4000-8000-000000000025,pending,Cybersecurity analyst experience.,https://resumes.harbor.edu/grace.pdf,2024-02-08T19:00:00Z,2024-01-25T09:00:00Z,320c5dce-aef7-4c75-9399-5c36d30bda9a
app-0026,14fc0a5f-ea02-495f-b992-77429453b76f,b1a1d1e1-0026-4000-8000-000000000026,reviewing,Security and networking skills.,https://resumes.harbor.edu/jayden.pdf,2024-02-09T20:00:00Z,2024-01-25T09:00:00Z,967afc5e-f675-4a21-83bf-de5abf5fbb09
app-0027,87530234-f36f-4dc9-88fa-1c919341de8e,b1a1d1e1-0027-4000-8000-000000000027,shortlisted,Civil engineering project experience.,https://resumes.harbor.edu/chloe.pdf,2024-02-10T21:00:00Z,2024-01-25T09:00:00Z,d2eaec72-c301-4cb7-b5f7-0c0770429c22
app-0028,87530234-f36f-4dc9-88fa-1c919341de8e,b1a1d1e1-0028-4000-8000-000000000028,rejected,Project management background.,https://resumes.harbor.edu/luke.pdf,2024-02-11T22:00:00Z,2024-01-25T09:00:00Z,0fbfd424-d051-4c41-ba63-2b66302b8f55
app-0029,275677f9-3c22-4cc0-bbfc-c9c15fc1ddc8,b1a1d1e1-0029-4000-8000-000000000029,pending,Agricultural research experience.,https://resumes.harbor.edu/zoe.pdf,2024-02-12T23:00:00Z,2024-01-25T09:00:00Z,32e332da-a9f8-4fd5-b579-edc756e69d52
app-0030,275677f9-3c22-4cc0-bbfc-c9c15fc1ddc8,b1a1d1e1-0030-4000-8000-000000000030,reviewing,Crop improvement skills.,https://resumes.harbor.edu/henry.pdf,2024-02-13T09:00:00Z,2024-01-25T09:00:00Z,16dba47c-a810-4004-902c-0692daf6dd88
app-0031,cac7f3cf-4580-4c9b-9a32-200f297f5c7d,b1a1d1e1-0031-4000-8000-000000000031,shortlisted,Travel consultant experience.,https://resumes.harbor.edu/lily.pdf,2024-02-14T10:00:00Z,2024-01-25T09:00:00Z,63ed24ca-0019-4a84-aa49-4b0f2f929018
app-0032,cac7f3cf-4580-4c9b-9a32-200f297f5c7d,b1a1d1e1-0032-4000-8000-000000000032,rejected,Communication and travel planning.,https://resumes.harbor.edu/leo.pdf,2024-02-15T11:00:00Z,2024-01-25T09:00:00Z,b9aee842-4108-4676-ad55-49271f85992c
app-0033,f86b4e40-8d49-4fc9-8a00-138beda0113c,b1a1d1e1-0033-4000-8000-000000000033,pending,Food science and product development.,https://resumes.harbor.edu/nora.pdf,2024-02-16T12:00:00Z,2024-01-25T09:00:00Z,3ef034c6-f6b6-49ca-891d-304a0eb8f0e6
app-0034,f86b4e40-8d49-4fc9-8a00-138beda0113c,b1a1d1e1-0034-4000-8000-000000000034,reviewing,Research and food quality skills.,https://resumes.harbor.edu/ryan.pdf,2024-02-17T13:00:00Z,2024-01-25T09:00:00Z,464c8a0a-de6f-493c-8e9e-5a04755ebbe3
