id,project_id,student_id,course_id,title,description,course_name,team_members,student_ids,mentor,status,progress,start_date,end_date,presentation_date,tags,grade,technologies,github_url,demo_url,proposal_status,midterm_status,final_status,created_at,updated_at
40a0b2af-cbbe-42e5-80e4-73ff2b4e45a9,proj-0001,b1a1d1e1-0001-4000-8000-000000000001,160946ba-1572-4c7b-8b9b-66855cbdf457,Smart Attendance System,IoT-based attendance using facial recognition,Introduction to Programming,b1a1d1e1-0002-4000-8000-000000000002;b1a1d1e1-0003-4000-8000-000000000003,b1a1d1e1-0002-4000-8000-000000000002;b1a1d1e1-0003-4000-8000-000000000003,Dr. Lucas Evans,graded,100,2024-01-10,2024-03-10,2024-03-15,"machine-learning,automation,backend",4.0,"Python, OpenCV",https://github.com/harbor/smart-attendance,https://demo.harbor.edu/attendance,approved,approved,approved,2024-01-10Z,2024-03-10
ddccfe6e-e073-4145-9139-cb9c9c9d95e3,proj-0002,b1a1d1e1-0002-4000-8000-000000000002,b195e991-faff-4dd5-9a91-1944fb2db3d4,Thermal Efficiency Analyzer,Web app for analyzing engine efficiency,Thermodynamics,b1a1d1e1-0001-4000-8000-000000000001;b1a1d1e1-0004-4000-8000-000000000004,b1a1d1e1-0001-4000-8000-000000000001;b1a1d1e1-0004-4000-8000-000000000004,Dr. Michael Kumar,graded,100,2024-01-12,2024-03-12,2024-03-18,"frontend,web,spa",3.7,"React, Node.js",https://github.com/harbor/thermal-analyzer,https://demo.harbor.edu/thermal,approved,approved,approved,2024-01-12Z,2024-03-12
b964f7ce-ad58-4350-bd62-59920701d12a,proj-0003,b1a1d1e1-0003-4000-8000-000000000003,5a775eb4-2678-4004-9e52-0e5c37405b56,Campus Navigation App,Mobile app for campus navigation,Mobile Computing,b1a1d1e1-0004-4000-8000-000000000004;b1a1d1e1-0005-4000-8000-000000000005,b1a1d1e1-0004-4000-8000-000000000004;b1a1d1e1-0005-4000-8000-000000000005,Dr. Sarah Lee,graded,100,2024-01-14,2024-03-14,2024-03-19,"mobile,cross-platform,ui",4.0,"Flutter, Firebase",https://github.com/harbor/campus-nav,https://demo.harbor.edu/nav,approved,approved,approved,2024-01-14Z,2024-03-14
2a528521-3505-4c3b-b5df-b7e3fff80ee5,proj-0004,b1a1d1e1-0004-4000-8000-000000000004,0b2e702f-dac1-4f46-ab73-0f3cbbb62730,Library Management System,Automated library system,Database Systems,b1a1d1e1-0003-4000-8000-000000000003;b1a1d1e1-0006-4000-8000-000000000006,b1a1d1e1-0003-4000-8000-000000000003;b1a1d1e1-0006-4000-8000-000000000006,Dr. Priya Singh,graded,100,2024-01-16,2024-03-16,2024-03-21,"enterprise,backend,oop",3.7,"MySQL, Java",https://github.com/harbor/library-mgmt,https://demo.harbor.edu/library,approved,approved,approved,2024-01-16Z,2024-03-16
1a7f5907-8fab-4df0-9ee2-27a0fabab0a2,proj-0005,b1a1d1e1-0005-4000-8000-000000000005,d18a393c-432e-4571-8355-2eaf96fffd8d,Online Exam Portal,Secure online exam platform,Web Security,b1a1d1e1-0002-4000-8000-000000000002;b1a1d1e1-0007-4000-8000-000000000007,b1a1d1e1-0002-4000-8000-000000000002;b1a1d1e1-0007-4000-8000-000000000007,Dr. Michael Kumar,graded,100,2024-01-18,2024-03-18,2024-03-23,"javascript,backend,api",4.0,"Node.js, MongoDB",https://github.com/harbor/exam-portal,https://demo.harbor.edu/exam,approved,approved,approved,2024-01-18Z,2024-03-18
b788960f-12c0-42de-92c4-1e164e7a1063,proj-0006,b1a1d1e1-0006-4000-8000-000000000006,505a379d-4959-4839-9c82-d6f9e2cec942,Health Tracker,Health monitoring web app,Health Informatics,b1a1d1e1-0005-4000-8000-000000000005;b1a1d1e1-0008-4000-8000-000000000008,b1a1d1e1-0005-4000-8000-000000000005;b1a1d1e1-0008-4000-8000-000000000008,Dr. Lucas Evans,graded,100,2024-01-20,2024-03-20,2024-03-25,"frontend,web,spa",3.7,"React, Chart.js",https://github.com/harbor/health-tracker,https://demo.harbor.edu/health,approved,approved,approved,2024-01-20Z,2024-03-20
ab18eb41-e66b-4419-9793-f8361fd7f28b,proj-0007,b1a1d1e1-0007-4000-8000-000000000007,04529923-fe19-4cbc-91eb-415ef6e3850d,Smart Parking System,IoT-based parking management,Embedded Systems,b1a1d1e1-0006-4000-8000-000000000006;b1a1d1e1-0009-4000-8000-000000000009,b1a1d1e1-0006-4000-8000-000000000006;b1a1d1e1-0009-4000-8000-000000000009,Dr. Priya Singh,graded,100,2024-01-22,2024-03-22,2024-03-27,"project,academic,software",4.0,"Arduino, C++",https://github.com/harbor/parking-system,https://demo.harbor.edu/parking,approved,approved,approved,2024-01-22Z,2024-03-22
00438081-8697-4b88-b23f-9fbc190a7561,proj-0008,b1a1d1e1-0008-4000-8000-000000000008,ede3ceab-5821-420b-9584-187a3fd3f3b4,E-Learning Platform,Online learning management system,Software Engineering,b1a1d1e1-0007-4000-8000-000000000007;b1a1d1e1-0010-4000-8000-000000000010,b1a1d1e1-0007-4000-8000-000000000007;b1a1d1e1-0010-4000-8000-000000000010,Dr. Sarah Lee,graded,100,2024-01-24,2024-03-24,2024-03-29,"python,web,mvc",3.7,"Django, PostgreSQL",https://github.com/harbor/elearning,https://demo.harbor.edu/elearn,approved,approved,approved,2024-01-24Z,2024-03-24
f44addf8-81c8-4e34-ba82-68ca0cc1e68c,proj-0009,b1a1d1e1-0009-4000-8000-000000000009,a74bc1d4-71ba-4f1d-9bb4-86fe12e90fcd,Event Scheduler,Campus event scheduling app,Event Management,b1a1d1e1-0008-4000-8000-000000000008;b1a1d1e1-0011-4000-8000-000000000011,b1a1d1e1-0008-4000-8000-000000000008;b1a1d1e1-0011-4000-8000-000000000011,Dr. Michael Kumar,graded,100,2024-01-26,2024-03-26,2024-03-31,"frontend,progressive,component",4.0,"Vue.js, Firebase",https://github.com/harbor/event-scheduler,https://demo.harbor.edu/events,approved,approved,approved,2024-01-26Z,2024-03-26
6e602842-7cdf-437d-b0cd-5b17d60b07e5,proj-0010,b1a1d1e1-0010-4000-8000-000000000010,b26824d5-728f-4d27-8d70-3b2f95043eba,Inventory Tracker,Inventory management system,Operations Management,b1a1d1e1-0009-4000-8000-000000000009;b1a1d1e1-0012-4000-8000-000000000012,b1a1d1e1-0009-4000-8000-000000000009;b1a1d1e1-0012-4000-8000-000000000012,Dr. Priya Singh,graded,100,2024-01-28,2024-03-28,2024-04-02,"project,academic,software",3.7,"PHP, MySQL",https://github.com/harbor/inventory-tracker,https://demo.harbor.edu/inventory,approved,approved,approved,2024-01-28Z,2024-03-28
36c662c1-ecfc-4463-99ff-a4088e908aea,proj-0011,b1a1d1e1-0011-4000-8000-000000000011,2c046484-6596-4859-b080-fb5cd4dc8561,Social Media Analyzer,Social media analytics dashboard,Data Analytics,b1a1d1e1-0010-4000-8000-000000000010;b1a1d1e1-0013-4000-8000-000000000013,b1a1d1e1-0010-4000-8000-000000000010;b1a1d1e1-0013-4000-8000-000000000013,Dr. Lucas Evans,graded,100,2024-01-30,2024-03-30,2024-04-04,"machine-learning,automation,backend",4.0,"Python, Dash",https://github.com/harbor/social-analyzer,https://demo.harbor.edu/social,approved,approved,approved,2024-01-30Z,2024-03-30
8d5bf9a3-0301-4301-a2e5-1371a2721cd8,proj-0012,b1a1d1e1-0012-4000-8000-000000000012,3e496ded-8d23-4a0c-aeab-af88e80d0781,Campus Safety App,Safety alert mobile app,Mobile Computing,b1a1d1e1-0011-4000-8000-000000000011;b1a1d1e1-0014-4000-8000-000000000014,b1a1d1e1-0011-4000-8000-000000000011;b1a1d1e1-0014-4000-8000-000000000014,Dr. Sarah Lee,graded,100,2024-02-01,2024-04-01,2024-04-06,"project,academic,software",3.7,"Kotlin, Firebase",https://github.com/harbor/safety-app,https://demo.harbor.edu/safety,approved,approved,approved,2024-02-01Z,2024-04-01
169aab18-81df-47ed-8b6d-3b593da17da6,proj-0013,b1a1d1e1-0013-4000-8000-000000000013,00f4655f-002f-4ab8-8545-f576de026e3e,Online Voting System,Secure online voting platform,Web Security,b1a1d1e1-0012-4000-8000-000000000012;b1a1d1e1-0015-4000-8000-000000000015,b1a1d1e1-0012-4000-8000-000000000012;b1a1d1e1-0015-4000-8000-000000000015,Dr. Priya Singh,graded,100,2024-02-03,2024-04-03,2024-04-08,"javascript,backend,api",4.0,"Node.js, Express",https://github.com/harbor/voting-system,https://demo.harbor.edu/voting,approved,approved,approved,2024-02-03Z,2024-04-03
7a449346-a383-4b09-a89f-60a949fdd542,proj-0014,b1a1d1e1-0014-4000-8000-000000000014,8492db63-b8a1-4353-adc1-fdc4404eadb1,Fitness Tracker,Fitness monitoring mobile app,Health Informatics,b1a1d1e1-0013-4000-8000-000000000013;b1a1d1e1-0016-4000-8000-000000000016,b1a1d1e1-0013-4000-8000-000000000013;b1a1d1e1-0016-4000-8000-000000000016,Dr. Lucas Evans,graded,100,2024-02-05,2024-04-05,2024-04-10,"project,academic,software",3.7,"Swift, HealthKit",https://github.com/harbor/fitness-tracker,https://demo.harbor.edu/fitness,approved,approved,approved,2024-02-05Z,2024-04-05
f371c54d-9110-47f7-89ca-475f23d8861e,proj-0015,b1a1d1e1-0015-4000-8000-000000000015,eb5c5960-345f-4702-b61c-a801810e5b9d,Expense Manager,Personal expense tracking app,Finance,b1a1d1e1-0014-4000-8000-000000000014;b1a1d1e1-0017-4000-8000-000000000017,b1a1d1e1-0014-4000-8000-000000000014;b1a1d1e1-0017-4000-8000-000000000017,Dr. Priya Singh,graded,100,2024-02-07,2024-04-07,2024-04-12,"frontend,web,spa",4.0,"React Native, SQLite",https://github.com/harbor/expense-manager,https://demo.harbor.edu/expense,approved,approved,approved,2024-02-07Z,2024-04-07
