id,endorsement_id,skill_id,endorsed_by,comment,created_at
669467b6-1a37-47e7-bab8-61f7100a2df3,end-0001,472b9d05-d033-4299-be94-a8760618434b,b1a1d1e1-1001-4000-8000-000000000101,Excellent JavaScript skills,2024-01-15T09:00:00Z
4e9741f9-6645-49ad-8856-bf7fda574eac,end-0002,98303e4b-c55f-4920-bd33-24b246e41bd0,b1a1d1e1-1002-4000-8000-000000000102,Great React developer,2024-01-16T09:00:00Z
65d86e71-ac36-498c-bcfd-65173c79e0d3,end-0003,5d287796-5952-452a-ae47-4d07c1b2c51f,b1a1d1e1-1003-4000-8000-000000000103,Outstanding Python proficiency,2024-01-17T09:00:00Z
30d7741c-3708-41ed-8007-27005461ba29,end-0004,ab90465a-9388-48fc-8866-a6529dabfdbb,b1a1d1e1-1004-4000-8000-000000000104,Solid Java fundamentals,2024-01-18T09:00:00Z
ed4dcd71-4642-47a0-a589-9058ce828816,end-0005,0c84ab79-3993-49ac-9412-43066038f448,b1a1d1e1-1005-4000-8000-000000000105,Strong SQL knowledge,2024-01-19T09:00:00Z
21e2722c-272d-441b-b828-a10f47e3b933,end-0006,57331e59-013a-4c19-bace-0f1edd9035a8,b1a1d1e1-1006-4000-8000-000000000106,Expert in HTML,2024-01-20T09:00:00Z
6e99c5d8-62c9-4b5f-9c7d-e4959f2732c9,end-0007,2caf5e40-b03a-428d-bbd5-368215e58d27,b1a1d1e1-1007-4000-8000-000000000107,Creative CSS solutions,2024-01-21T09:00:00Z
79b33687-25e5-409c-8101-4e664cb1eae0,end-0008,320393ca-75fa-4b3c-ad12-d14f863ca2a6,b1a1d1e1-1008-4000-8000-000000000108,Efficient C++ coding,2024-01-22T09:00:00Z
407a94e0-8fa9-4a60-8896-03ec7328b7bf,end-0009,980d80e1-5a39-4cc1-b53d-5488fddd68f1,b1a1d1e1-1009-4000-8000-000000000109,Node.js backend expertise,2024-01-23T09:00:00Z
f0567a58-8af4-4c37-8d24-ec089bb10814,end-0010,91685659-f81b-4816-b4fd-46b9bdbc31c9,b1a1d1e1-1010-4000-8000-000000000110,TypeScript mastery,2024-01-24T09:00:00Z
92c5b1ca-7b00-43c8-b9f1-60a29161a9fc,end-0011,6f503a0b-2b2a-469c-ba60-c5cb4ba270ec,b1a1d1e1-1011-4000-8000-000000000111,MongoDB data modeling,2024-01-25T09:00:00Z
ee26a434-62a1-46c2-92c4-c90b073eb886,end-0012,85f1f318-75bc-4e0f-bd0c-241a5043109b,b1a1d1e1-1012-4000-8000-000000000112,Django web development,2024-01-26T09:00:00Z
a018df71-ae3a-4c9b-b909-b1cd2b2189f5,end-0013,a35ca53f-06f1-4192-b86d-ffcccfb0bba4,b1a1d1e1-1013-4000-8000-000000000113,Flutter mobile apps,2024-01-27T09:00:00Z
dbb32e9d-7a25-44b1-bd17-2c0e38641487,end-0014,a6da73f7-5efc-4f18-9fb4-229909cce9d4,b1a1d1e1-1014-4000-8000-000000000114,Kotlin Android skills,2024-01-28T09:00:00Z
42eb1763-5292-46c7-9139-1fc0e707c1dd,end-0015,e6cb07a7-6d9a-4625-aa51-5603fedc6228,b1a1d1e1-1015-4000-8000-000000000115,Swift iOS development,2024-01-29T09:00:00Z
007bc0ec-4ba8-4088-8d51-d32c1b6fd62c,end-0016,79df310f-4962-4301-a99c-b479e813192e,b1a1d1e1-1016-4000-8000-000000000116,Go concurrency expertise,2024-01-30T09:00:00Z
53ffbeca-74c2-45b3-b0d2-d59fdd145e59,end-0017,9aac2f49-f727-4cb3-9c2f-51d4ef5c84da,b1a1d1e1-1017-4000-8000-000000000117,Rust systems programming,2024-01-31T09:00:00Z
e6dbcec0-2edf-4e7d-97e2-106a2252bd27,end-0018,55ad8176-94cb-4e52-aaba-c462e4b82847,b1a1d1e1-1018-4000-8000-000000000118,PHP web scripting,2024-02-01T09:00:00Z
515188f8-d818-4976-8a45-b759462c6813,end-0019,d55a6e0a-ae6e-4116-bd8b-a5082a1faa44,b1a1d1e1-1019-4000-8000-000000000119,Ruby on Rails apps,2024-02-02T09:00:00Z
4ce25fdf-3e3d-4dac-a161-e919a2d4570a,end-0020,ad350580-571c-4c3d-8ffe-0f59cd829e34,b1a1d1e1-1020-4000-8000-000000000120,Perl automation scripts,2024-02-03T09:00:00Z
010f4332-91b5-438a-8c9b-db357bf58402,end-0021,094a55fd-77e6-4493-8b1b-a51c5080265c,b1a1d1e1-1021-4000-8000-000000000121,Scala functional programming,2024-02-04T09:00:00Z
cf9aa56f-83e7-4d7f-b789-26f95825818c,end-0022,7c37b817-924f-4a09-aaa2-17b9009973eb,b1a1d1e1-1022-4000-8000-000000000122,Matlab simulations,2024-02-05T09:00:00Z
aa3ac746-0d4a-445a-9277-31767cf46650,end-0023,f700d6c8-415f-468d-90e4-e2c323c067ed,b1a1d1e1-1023-4000-8000-000000000123,R statistical analysis,2024-02-06T09:00:00Z
ecbb6bd8-eb21-4f23-8183-32bf2c872514,end-0024,3849c018-3607-47ec-847d-646fdacdc806,b1a1d1e1-1024-4000-8000-000000000124,SAS data analytics,2024-02-07T09:00:00Z
8038e7a5-c6ee-4e3b-ae73-24ff16c7176f,end-0025,dda3c6eb-3233-4f25-9f87-c2dc8dcd45db,b1a1d1e1-1025-4000-8000-000000000125,SPSS survey analysis,2024-02-08T09:00:00Z
84872157-49b1-402c-97a1-56565be768b0,end-0026,ad230494-29bd-46c7-be8c-9c1f666d0ffd,b1a1d1e1-1026-4000-8000-000000000126,Excel spreadsheet wizard,2024-02-09T09:00:00Z
9eb7aed7-d118-4779-abc5-3b7ce5b09df8,end-0027,689c2def-3ce7-4fbb-a301-616740dd2b0e,b1a1d1e1-1027-4000-8000-000000000127,PowerPoint presentation skills,2024-02-10T09:00:00Z
da41164f-672f-4b76-a0c2-5d0c4ed0019a,end-0028,3ba565a8-5ea8-42c4-a57b-aed033e41761,b1a1d1e1-1028-4000-8000-000000000128,Word document formatting,2024-02-11T09:00:00Z
01d9e76a-de7d-42df-b13a-6d6b5a54146a,end-0029,6a2f573a-a4b5-4b31-b437-1fc552988e78,b1a1d1e1-1029-4000-8000-000000000129,Access database management,2024-02-12T09:00:00Z
1210a1bc-2cba-4791-afff-11bd78c2166a,end-0030,19aa87c2-2a95-4409-ae16-71954983b710,b1a1d1e1-1030-4000-8000-000000000130,Outlook email organization,2024-02-13T09:00:00Z
870e5503-ca3a-4206-ade2-18b48109e786,end-0031,e7f999ed-19ef-4962-a305-bb663cf30db8,b1a1d1e1-1031-4000-8000-000000000131,Teams collaboration,2024-02-14T09:00:00Z
402c0df6-7299-4ffd-9cc6-f64db2953913,end-0032,31581713-e4c6-42ed-a0f3-4cc24eb12be5,b1a1d1e1-1032-4000-8000-000000000132,Zoom meeting facilitation,2024-02-15T09:00:00Z
b1b452a5-3e76-41a9-ad47-18da1be325bc,end-0033,d70e02af-8af5-47ab-9833-9b254d3d05d1,b1a1d1e1-1033-4000-8000-000000000133,Slack channel management,2024-02-16T09:00:00Z
a3d02a00-d7a0-4104-aa43-8099599826b4,end-0034,968c6215-2619-4f4f-92e1-98ae669b8c22,b1a1d1e1-1034-4000-8000-000000000134,Trello board organization,2024-02-17T09:00:00Z
da7495d0-d10f-46c1-902c-842557930300,end-0035,f6356865-0a6f-4c05-8dad-5446b522bec8,b1a1d1e1-1035-4000-8000-000000000135,Jira issue tracking,2024-02-18T09:00:00Z
559d7932-8950-44f0-a822-303cf2ecd5ef,end-0036,7320d4c4-0fd6-49c9-8862-1d93251709fe,b1a1d1e1-1036-4000-8000-000000000136,Git version control,2024-02-19T09:00:00Z
60ecb6e9-ef8e-4978-a18d-5d63a204e656,end-0037,79cbf429-3a50-4c84-b552-bf9cc882306f,b1a1d1e1-1037-4000-8000-000000000137,GitHub repository management,2024-02-20T09:00:00Z
ab7c8d5c-0b9a-4318-be62-f2e8414b6158,end-0038,2cfb1cfa-b807-40d5-a509-f8ce8cfe607c,b1a1d1e1-1038-4000-8000-000000000138,Bitbucket project hosting,2024-02-21T09:00:00Z
e2dfc206-7882-4506-a23d-5e84b7e10c48,end-0039,0b111d5c-5061-4a0e-a9b7-a5233f29644a,b1a1d1e1-1039-4000-8000-000000000139,Docker containerization,2024-02-22T09:00:00Z
89e15eb8-6c19-43b8-8dd5-6c2147e7dd16,end-0040,40103782-2bd1-4912-b8e1-58452609f4e0,b1a1d1e1-1040-4000-8000-000000000140,Kubernetes orchestration,2024-02-23T09:00:00Z
bb0c503f-7fbd-4175-9bcf-c00b5ee1d32a,end-0041,e59f5014-43cf-4147-848e-dc36488d5f2c,b1a1d1e1-1041-4000-8000-000000000141,AWS cloud deployment,2024-02-24T09:00:00Z
6eae0e5b-6e89-4278-8a8e-d670fb6d8dc3,end-0042,4aea8462-3b1d-4eef-a76e-ef0048d6e582,b1a1d1e1-1042-4000-8000-000000000142,Azure cloud services,2024-02-25T09:00:00Z
ddc51ab8-5ce5-4228-84b9-aa6c3d2c0fe5,end-0043,8ca4edc9-27cf-4501-a6b9-1b5346fd5904,b1a1d1e1-1043-4000-8000-000000000143,GCP cloud platform,2024-02-26T09:00:00Z
54fa8762-d4d5-44fe-9e70-5060f981c8a4,end-0044,4b6f4306-e99e-4483-86dc-8a6d73200792,b1a1d1e1-1044-4000-8000-000000000144,Linux server management,2024-02-27T09:00:00Z
9d64e3d3-ec1c-462b-b14e-cb1d462a7d43,end-0045,03bee7a6-1a8e-42e7-bc20-e812e89a64e0,b1a1d1e1-1045-4000-8000-000000000145,Windows system administration,2024-02-28T09:00:00Z
d2b48fd7-b75a-4783-8622-e7126522d11d,end-0046,c4eede20-d820-4872-89c0-3c4cf3d68faa,b1a1d1e1-1046-4000-8000-000000000146,MacOS troubleshooting,2024-03-01T09:00:00Z
17cf7b83-281d-4efc-b59a-732bb5bf6375,end-0047,d9c43a4d-ad2c-459e-b158-7be03024d3e4,b1a1d1e1-1047-4000-8000-000000000147,Android app development,2024-03-02T09:00:00Z
51f42cee-3459-41a9-aa78-bbd8cffe1b5a,end-0048,1824f915-635e-4777-b636-831225f67821,b1a1d1e1-1048-4000-8000-000000000148,iOS app deployment,2024-03-03T09:00:00Z
32784242-ebd4-45dc-a0d4-9b6aef02a6b9,end-0049,1c461407-0e61-44db-92c3-f3e6ddc1de30,b1a1d1e1-1049-4000-8000-000000000149,Firebase integration,2024-03-04T09:00:00Z
ed3be908-bf1b-40f5-a068-5ca581e8809d,end-0050,2bf7d2eb-8227-43ab-8f39-08f7f599c0e3,b1a1d1e1-1050-4000-8000-000000000150,Heroku cloud hosting,2024-03-05T09:00:00Z
